"","segment_id","month","weekday","hour","max_speed","coordinates","X","Y","street","place","province","pct_up","lorry","pedestrian","bike","car","bucket0","bucket1","bucket2","bucket3","bucket4","bucket5","bucket6","bucket7","expectedfine","speederrisk","roadrisk","riskscore","expectedfinescaled"
"43",24948,12,"Tuesday",12,50,"[4.475772159548538, 51.30211396173583]",4.47577215954854,51.3021139617358,"Hoge Kaart","Brasschaat","Antwerpen",0.71,0,4,28,2,3,0,0,0,0,0,0,0,0,0,3.02,0.028873455605863,0
"44",26408,1,"Friday",9,50,"[3.705401392751692, 51.035918198489846]",3.70540139275169,51.0359181984898,"Sint-Denijslaan","Gent","Oost-Vlaanderen",0.12,37,9,126.5,282,6,54,121.5,67.5,27.5,0,0,8,1216,0.72,16.29,0.163072672857033,0.0077758972763044
"45",26408,1,"Friday",10,50,"[3.705401392751692, 51.035918198489846]",3.70540139275169,51.0359181984898,"Sint-Denijslaan","Gent","Oost-Vlaanderen",0.65,28.4,8.8,39.8,165.4,5.4,20,71.2,48.4,17,3.4,1.2,2.2,483.28,0.268,6.358,0.0634640472718901,0.00309040759514177
"46",26408,1,"Friday",11,50,"[3.705401392751692, 51.035918198489846]",3.70540139275169,51.0359181984898,"Sint-Denijslaan","Gent","Oost-Vlaanderen",0.794,41.2,6.8,32,156.2,10.4,23.8,64,44.4,11.2,2,1.4,2.8,557.6,0.314,5.514,0.0558092241577776,0.00356565815893695
"47",26408,1,"Friday",12,50,"[3.705401392751692, 51.035918198489846]",3.70540139275169,51.0359181984898,"Sint-Denijslaan","Gent","Oost-Vlaanderen",0.782,36.6,3,32.8,172.4,10.8,22.6,71.6,53.4,12.4,2.8,0.6,1.8,371.36,0.208,5.52,0.0548499731409715,0.00237471810240823
"48",26408,1,"Friday",13,50,"[3.705401392751692, 51.035918198489846]",3.70540139275169,51.0359181984898,"Sint-Denijslaan","Gent","Oost-Vlaanderen",0.784,39,10.4,51.6,199.4,18.4,26,85.2,53,14,2.6,0.4,3.6,627.92,0.362,8.064,0.0807305655743995,0.00401533011327061
"49",26408,1,"Friday",14,50,"[3.705401392751692, 51.035918198489846]",3.70540139275169,51.0359181984898,"Sint-Denijslaan","Gent","Oost-Vlaanderen",0.784,41.6,6.8,39.8,178.8,20.2,22.4,69.4,57.2,7.8,1.2,1.6,3,583.84,0.33,6.524,0.065651139590208,0.00373345383700457
"50",26408,1,"Friday",15,50,"[3.705401392751692, 51.035918198489846]",3.70540139275169,51.0359181984898,"Sint-Denijslaan","Gent","Oost-Vlaanderen",0.786,54.4,6.6,33.2,185.8,20,28,75.6,51.4,9.4,2,0.8,1.4,306.4,0.17,6.052,0.0595886731639936,0.00195932148475302
"51",26408,1,"Friday",16,50,"[3.705401392751692, 51.035918198489846]",3.70540139275169,51.0359181984898,"Sint-Denijslaan","Gent","Oost-Vlaanderen",0.79,57.6,9.4,50.6,265.6,22.8,45.2,114.2,69.8,12.2,2.8,0,2,363.36,0.208,8.762,0.0859488911058246,0.00232356088348517
"52",26408,1,"Friday",17,50,"[3.705401392751692, 51.035918198489846]",3.70540139275169,51.0359181984898,"Sint-Denijslaan","Gent","Oost-Vlaanderen",0.682,55.4,9.6,66.8,281,37.2,75,109,52.2,7.2,2.2,0,2.4,411.44,0.238,10.524,0.10313866932699,0.00263101576921273
